datetime,account_id,balance,currency,id
2020-04-01,605096bb,1089.66,USD,ab408c8b
2020-01-01,882b8dca,1664.45,USD,17ba75c5
2020-01-01,605096bb,1089.63,USD,502f1707
2020-01-01,6c0037c1,176984.38,NOK,a96f57bc
2020-01-01,22d775cd,5008.0,NOK,ff2d14db
2020-01-01,9c4b0e97,10080.08,USD,4f8aad65
2020-01-01,463a9896,5033.76,USD,ca606134
2020-01-01,cc237820,1950.06,USD,024f73e4
2020-01-01,affe99d7,38055.82,USD,9ffeeab0
2020-02-01,882b8dca,1096.81,USD,26f70458
2020-02-01,605096bb,1089.64,USD,5fb1d528
2020-02-01,6c0037c1,177794.51,NOK,10527b87
2020-02-01,22d775cd,10008.0,NOK,12e579e7
2020-02-01,9c4b0e97,10094.48,USD,611617f9
2020-02-01,463a9896,5041.48,USD,d0b356c8
2020-02-01,cc237820,1953.03,USD,a93f73c2
2020-02-01,affe99d7,35724.07,USD,f2286ad6
2020-03-01,882b8dca,787.1,USD,aa15ec3a
2020-03-01,605096bb,1089.65,USD,cfc3a2c1
2020-03-01,6c0037c1,185911.83,NOK,0c9d312d
2020-03-01,22d775cd,15008.0,NOK,8703f9c7
2020-03-01,9c4b0e97,10107.97,USD,7d619965
2020-03-01,463a9896,5049.07,USD,4d87583a
2020-03-01,cc237820,1956.0,USD,86b367b9
2020-03-01,affe99d7,34763.01,USD,bbd77ced
2020-04-01,882b8dca,695.8,USD,92c022d4
2020-04-01,6c0037c1,253947.02,NOK,5a137097
2020-04-01,22d775cd,20008.0,NOK,3ed42cc3
2020-04-01,9c4b0e97,10122.42,USD,d3265962
2020-04-01,463a9896,5049.07,USD,53958eb8
2020-04-01,cc237820,1958.97,USD,1e209a2e
2020-04-01,affe99d7,28316.47,USD,fb2c9182
2020-05-01,882b8dca,508.15,USD,bdd841f3
2020-05-01,605096bb,1089.67,USD,8dd18204
2020-05-01,6c0037c1,282466.77,NOK,f7597a11
2020-05-01,22d775cd,25008.0,NOK,1f39866d
2020-05-01,9c4b0e97,10135.76,USD,83517ede
2020-05-01,463a9896,3.14,USD,eedf4cd5
2020-05-01,cc237820,1961.94,USD,54b29383
2020-05-01,affe99d7,33022.32,USD,08e45e70
2020-06-01,882b8dca,485.08,USD,f636082d
2020-06-01,605096bb,1089.68,USD,706d1fe5
2020-06-01,6c0037c1,291228.08,NOK,457c82d3
2020-06-01,22d775cd,30008.0,NOK,dece3ba1
2020-06-01,9c4b0e97,10147.33,USD,94df4701
2020-06-01,cc237820,1964.91,USD,2465e53f
2020-06-01,affe99d7,34918.96,USD,0adf7ce8
2020-07-01,882b8dca,1317.83,USD,662977ae
2020-07-01,605096bb,1089.69,USD,f26bc8a7
2020-07-01,9c4b0e97,10157.05,USD,cc50912c
2020-07-01,22d775cd,235008.0,NOK,1314a58e
2020-07-01,cb6a7a36,25297.0,NOK,4ad4720d
2020-07-01,6c0037c1,78269.89,NOK,d7dff38b
2020-07-01,cc237820,1967.88,USD,7b290455
2020-07-01,affe99d7,36948.43,USD,0d685db4
2020-06-01,463a9896,0.0,USD,cec2f56b
